depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
82	2	30	9	32	34	36
82	2	75	52	40	53	67
82	2	118	135	41	52	63
87	2	7	919	42	54	67
87	2	12	439	42	54	66
87	2	19	24	35	41	48
87	2	30	7	31	33	35
87	2	75	51	41	54	67
87	2	118	135	41	52	63
92	2	7	916	42	54	67
92	2	12	436	42	54	66
92	2	19	24	35	41	48
92	2	30	4	30	31	33
92	2	75	49	42	54	66
92	2	118	135	41	52	63
97	2	7	914	42	54	67
97	2	12	434	42	54	66
97	2	19	24	35	41	48
97	2	30	2	30	30	31
97	2	75	48	41	53	66
97	2	118	135	41	52	63
102	2	7	912	41	54	67
102	2	12	432	41	53	66
102	2	19	24	35	41	48
102	2	75	48	41	53	66
102	2	118	135	41	52	63
107	2	7	909	42	54	67
107	2	12	429	41	53	66
107	2	19	24	35	41	48
107	2	75	47	41	53	65
107	2	118	135	41	52	63
112	2	7	907	42	54	67
112	2	12	427	41	53	66
112	2	19	24	35	41	48
112	2	75	46	41	52	64
112	2	118	135	41	52	63
117	2	7	904	42	54	67
117	2	12	424	41	53	66
117	2	19	24	35	41	48
117	2	75	45	41	52	63
117	2	118	135	41	52	63
122	2	7	902	42	54	67
122	2	12	422	41	53	66
122	2	19	24	35	41	48
122	2	75	44	40	51	63
122	2	118	135	41	52	63
127	2	7	900	42	54	67
127	2	12	420	41	53	66
127	2	19	24	35	41	48
127	2	75	43	40	51	62
127	2	118	134	41	52	63
132	2	7	897	42	54	67
132	2	12	417	41	53	66
132	2	19	24	35	41	48
132	2	75	42	40	50	61
132	2	118	134	41	52	63
137	2	7	895	42	54	67
137	2	12	415	41	54	67
137	2	19	24	35	41	48
137	2	75	42	40	50	61
137	2	118	134	41	52	63
142	2	7	892	42	54	67
142	2	12	412	41	54	67
142	2	19	24	35	41	48
142	2	75	41	40	50	60
142	2	118	134	41	52	63
147	2	7	890	42	54	67
147	2	12	410	41	54	67
147	2	19	24	35	41	48
147	2	75	40	39	49	60
147	2	118	134	41	52	63
152	2	7	888	42	54	67
152	2	12	408	41	54	67
152	2	19	24	35	41	48
152	2	75	40	39	49	60
152	2	118	134	41	52	63
157	2	7	885	42	54	66
157	2	12	405	42	54	67
157	2	19	24	35	41	48
157	2	75	39	39	49	59
157	2	118	134	41	52	63
162	2	7	883	42	54	67
162	2	12	403	42	54	67
162	2	19	24	35	41	48
162	2	75	38	39	48	58
162	2	118	134	41	52	63
167	2	7	880	42	54	67
167	2	12	400	42	54	67
167	2	19	24	35	41	48
167	2	75	38	39	48	58
167	2	118	134	41	52	63
172	2	7	878	42	54	67
172	2	12	398	42	54	67
172	2	19	24	35	41	48
172	2	75	37	39	48	57
172	2	118	134	41	52	63
177	2	7	876	42	54	67
177	2	12	396	42	54	67
177	2	19	24	35	41	48
177	2	75	36	38	47	57
177	2	118	134	41	52	63
182	2	7	873	42	54	67
182	2	12	393	42	54	66
182	2	19	24	35	41	48
182	2	75	36	38	47	57
182	2	118	134	41	52	63
187	2	7	871	42	54	67
187	2	12	391	42	54	66
187	2	19	24	35	41	48
187	2	75	35	38	47	56
187	2	118	133	41	52	63
192	2	7	868	42	54	67
192	2	12	388	42	54	66
192	2	19	24	35	41	48
192	2	75	35	38	47	56
192	2	118	133	41	52	63
197	2	7	866	42	54	67
197	2	12	386	42	54	66
197	2	19	24	35	41	48
197	2	75	34	38	46	55
197	2	118	133	41	52	63
202	2	7	864	41	54	67
202	2	12	384	41	53	66
202	2	19	24	35	41	48
202	2	30	36	38	47	57
202	2	75	34	38	46	55
202	2	118	133	41	52	63
207	2	7	861	42	54	67
207	2	12	381	41	53	66
207	2	19	24	35	41	48
207	2	75	33	38	46	54
207	2	118	133	41	52	63
212	2	7	859	42	54	67
212	2	12	379	41	53	66
212	2	19	24	35	41	48
212	2	75	33	38	46	54
212	2	118	133	41	52	63
217	2	7	856	42	54	67
217	2	12	376	41	53	66
217	2	19	24	35	41	48
217	2	75	32	37	45	54
217	2	118	133	41	52	63
222	2	7	854	42	54	67
222	2	12	374	41	53	66
222	2	19	24	35	41	48
222	2	75	32	37	45	54
222	2	118	133	41	52	63
227	2	7	852	42	54	67
227	2	12	372	41	53	66
227	2	19	24	35	41	48
227	2	75	32	37	45	54
227	2	118	133	41	52	63
232	2	7	849	42	54	67
232	2	12	369	41	53	66
232	2	19	24	35	41	48
232	2	75	31	37	45	53
232	2	118	133	41	52	63
237	2	7	847	42	54	67
237	2	12	367	41	53	66
237	2	19	24	35	41	48
237	2	75	31	37	45	53
237	2	118	132	40	51	63
242	2	7	844	42	54	67
242	2	12	364	41	53	67
242	2	19	24	35	41	48
242	2	75	30	37	44	52
242	2	118	132	40	51	63
247	2	7	842	42	54	67
247	2	12	362	41	54	67
247	2	19	24	35	41	48
247	2	75	30	37	44	52
247	2	118	132	40	51	63
252	2	7	840	42	54	67
252	2	12	360	41	54	67
252	2	19	24	35	41	48
252	2	75	30	37	44	52
252	2	118	132	40	51	63
257	2	7	837	42	54	66
257	2	12	357	41	54	67
257	2	19	24	35	41	48
257	2	75	29	37	44	51
257	2	118	132	40	51	63
262	2	7	835	42	54	66
262	2	12	355	41	54	67
262	2	19	24	35	41	48
262	2	75	29	37	44	51
262	2	118	132	40	51	63
267	2	7	832	42	54	67
267	2	12	352	42	54	67
267	2	19	24	35	41	48
267	2	75	28	36	43	51
267	2	118	132	40	51	63
272	2	7	830	42	54	67
272	2	12	350	42	54	67
272	2	19	24	35	41	48
272	2	75	28	36	43	51
272	2	118	132	40	51	63
277	2	7	828	42	54	67
277	2	12	348	42	54	67
277	2	19	24	35	41	48
277	2	75	28	36	43	51
277	2	118	132	40	51	63
282	2	7	825	42	54	67
282	2	12	345	42	54	66
282	2	19	24	35	41	48
282	2	75	27	36	43	50
282	2	118	132	40	51	63
287	2	7	823	42	54	67
287	2	12	343	42	54	66
287	2	19	24	35	41	48
287	2	75	27	36	43	50
287	2	118	132	40	51	63
292	2	7	820	42	54	67
292	2	12	340	42	54	66
292	2	19	24	35	41	48
292	2	75	27	36	43	50
292	2	118	131	40	51	63
297	2	7	818	42	54	67
297	2	12	338	42	54	66
297	2	19	24	35	41	48
297	2	75	26	36	42	49
297	2	118	131	40	51	63
302	2	7	816	41	54	67
302	2	12	336	41	53	66
302	2	19	24	35	41	48
302	2	75	26	36	42	49
302	2	118	131	40	51	63
307	2	7	813	41	54	67
307	2	12	333	41	53	66
307	2	19	24	35	41	48
307	2	75	26	36	42	49
307	2	118	131	40	51	63
312	2	7	811	41	54	67
312	2	12	331	41	53	66
312	2	19	24	35	41	48
312	2	75	26	36	42	49
312	2	118	131	40	51	63
317	2	7	808	42	54	67
317	2	12	328	41	53	66
317	2	19	24	35	41	48
317	2	75	25	36	42	48
317	2	118	131	40	51	63
322	2	7	806	42	54	67
322	2	12	326	41	53	66
322	2	19	24	35	41	48
322	2	75	25	36	42	48
322	2	118	131	40	51	63
327	2	7	804	42	54	67
327	2	12	324	41	53	66
327	2	19	24	35	41	48
327	2	75	25	36	42	48
327	2	118	131	40	51	63
332	2	7	801	42	54	67
332	2	12	321	41	53	66
332	2	19	24	35	41	48
332	2	75	24	35	41	48
332	2	118	131	40	51	63
337	2	7	799	42	54	67
337	2	12	319	41	53	66
337	2	19	24	35	41	48
337	2	75	24	35	41	48
337	2	118	131	40	51	63
342	2	7	796	42	54	67
342	2	12	316	41	53	66
342	2	19	24	35	41	48
342	2	75	24	35	41	48
342	2	118	130	40	51	63
347	2	7	794	42	54	67
347	2	12	314	41	53	66
347	2	19	24	35	41	48
347	2	75	24	35	41	48
347	2	118	130	40	51	63
352	2	7	792	42	54	67
352	2	12	312	41	53	67
352	2	19	24	35	41	48
352	2	75	24	35	41	48
352	2	118	130	40	51	63
357	2	7	789	42	54	66
357	2	12	309	41	54	67
357	2	19	24	35	41	48
357	2	75	23	35	41	47
357	2	118	130	40	51	63
362	2	7	787	42	54	66
362	2	12	307	41	54	67
362	2	19	24	35	41	48
362	2	75	23	35	41	47
362	2	118	130	40	51	63
367	2	7	784	42	54	66
367	2	12	304	41	54	67
367	2	19	24	35	41	48
367	2	75	23	35	41	47
367	2	118	130	40	51	63
372	2	7	782	42	54	66
372	2	12	302	42	54	67
372	2	19	24	35	41	48
372	2	75	23	35	41	47
372	2	118	130	40	51	63
377	2	7	780	42	54	67
377	2	12	300	42	54	67
377	2	19	24	35	41	48
377	2	75	22	35	40	46
377	2	118	130	40	51	63
382	2	7	777	42	54	67
382	2	12	297	42	54	67
382	2	19	24	35	41	48
382	2	75	22	35	40	46
382	2	118	130	40	51	63
387	2	7	775	42	54	67
387	2	12	295	42	54	66
387	2	19	24	35	41	48
387	2	75	22	35	40	46
387	2	118	129	40	51	63
392	2	7	772	42	54	67
392	2	12	292	42	54	66
392	2	19	24	35	41	48
392	2	75	22	35	40	46
392	2	118	129	40	51	63
397	2	7	770	42	54	67
397	2	12	290	42	54	66
397	2	19	24	35	41	48
397	2	75	22	35	40	46
397	2	118	129	40	51	63
402	2	7	768	41	54	67
402	2	12	288	41	53	66
402	2	19	24	35	41	48
402	2	75	21	35	40	45
402	2	118	129	40	51	63
407	2	7	765	41	54	67
407	2	12	285	41	53	65
407	2	19	24	35	41	48
407	2	75	21	35	40	45
407	2	118	129	40	51	63
412	2	7	763	41	54	67
412	2	12	283	41	53	65
412	2	19	24	35	41	48
412	2	75	21	35	40	45
412	2	118	129	40	51	63
417	2	7	760	41	54	67
417	2	12	280	41	53	66
417	2	19	24	35	41	48
417	2	75	21	35	40	45
417	2	118	129	40	51	63
422	2	7	758	42	54	67
422	2	12	278	41	53	66
422	2	19	24	35	41	48
422	2	75	21	35	40	45
422	2	118	129	40	51	63
427	2	7	756	42	54	67
427	2	12	276	41	52	66
427	2	19	24	35	41	48
427	2	75	20	34	39	45
427	2	118	129	40	51	63
432	2	7	753	42	54	67
432	2	12	273	41	52	66
432	2	19	24	35	41	48
432	2	75	20	34	39	45
432	2	118	129	40	51	63
437	2	7	751	42	54	67
437	2	12	271	41	52	66
437	2	19	24	35	41	48
437	2	75	20	34	39	45
437	2	118	128	40	51	64
442	2	7	748	42	54	67
442	2	12	268	41	53	66
442	2	19	24	35	41	48
442	2	75	20	34	39	45
442	2	118	128	40	51	64
447	2	7	746	42	54	67
447	2	12	266	41	53	66
447	2	19	24	35	41	48
447	2	75	20	34	39	45
447	2	118	128	40	51	64
452	2	7	744	42	54	67
452	2	12	264	40	53	66
452	2	19	24	35	41	48
452	2	75	20	34	39	45
452	2	118	128	40	51	64
457	2	7	741	42	54	67
457	2	12	261	40	53	66
457	2	19	24	35	41	48
457	2	75	19	34	39	44
457	2	118	128	40	51	64
462	2	7	739	42	54	66
462	2	12	259	41	54	67
462	2	19	24	35	41	48
462	2	75	19	34	39	44
462	2	118	128	40	51	64
467	2	7	736	42	54	66
467	2	12	256	41	54	67
467	2	19	24	35	41	48
467	2	75	19	34	39	44
467	2	118	128	40	51	64
472	2	7	734	42	54	66
472	2	12	254	41	54	67
472	2	19	24	35	41	48
472	2	75	19	34	39	44
472	2	118	128	40	51	64
477	2	7	732	42	54	66
477	2	12	252	42	54	67
477	2	19	24	35	41	48
477	2	75	19	34	39	44
477	2	118	127	40	51	64
482	2	7	729	42	54	66
482	2	12	249	42	54	67
482	2	19	24	35	41	48
482	2	75	19	34	39	44
482	2	118	127	40	51	64
487	2	7	727	42	54	67
487	2	12	247	42	54	67
487	2	19	24	35	41	48
487	2	75	18	34	38	43
487	2	118	127	40	51	64
492	2	7	724	42	54	67
492	2	12	244	42	54	66
492	2	19	24	35	41	48
492	2	75	18	34	38	43
492	2	118	127	40	51	64
497	2	7	722	42	54	67
497	2	12	242	42	54	66
497	2	19	24	35	41	48
497	2	75	18	34	38	43
497	2	118	127	40	51	64
502	2	7	720	41	54	67
502	2	12	240	41	53	66
502	2	19	24	35	41	48
502	2	75	18	34	38	43
502	2	118	127	40	51	64
507	2	7	717	41	54	67
507	2	12	237	41	53	65
507	2	19	24	35	41	48
507	2	75	18	34	38	43
507	2	118	127	40	51	64
512	2	7	715	41	54	67
512	2	12	235	41	53	65
512	2	19	24	35	41	48
512	2	75	18	34	38	43
512	2	118	127	40	51	64
517	2	7	712	41	54	67
517	2	12	232	41	53	65
517	2	19	24	35	41	48
517	2	75	18	34	38	43
517	2	118	127	40	51	64
522	2	7	710	41	54	67
522	2	12	230	41	52	65
522	2	19	24	35	41	48
522	2	75	17	34	38	42
522	2	118	126	40	50	64
527	2	7	708	42	54	67
527	2	12	228	41	52	65
527	2	19	24	35	41	48
527	2	75	17	34	38	42
527	2	118	126	40	50	64
532	2	7	705	42	54	67
532	2	12	225	41	52	65
532	2	19	24	35	41	48
532	2	75	17	34	38	42
532	2	118	126	40	50	64
537	2	7	703	42	54	67
537	2	12	223	41	52	66
537	2	19	24	35	41	48
537	2	75	17	34	38	42
537	2	118	126	40	50	64
542	2	7	700	42	54	67
542	2	12	220	40	52	66
542	2	19	24	35	41	48
542	2	75	17	34	38	42
542	2	118	126	40	50	64
547	2	7	698	42	54	67
547	2	12	218	40	52	66
547	2	19	24	35	41	48
547	2	75	17	34	38	42
547	2	118	126	40	50	64
552	2	7	696	42	54	67
552	2	12	216	40	52	66
552	2	19	24	35	41	48
552	2	75	17	34	38	42
552	2	118	126	40	50	64
557	2	7	693	42	54	67
557	2	12	213	40	53	66
557	2	19	24	35	41	48
557	2	75	17	34	38	42
557	2	118	126	40	50	64
562	2	7	691	42	54	67
562	2	12	211	40	53	66
562	2	19	24	35	41	48
562	2	75	16	33	37	42
562	2	118	125	40	50	64
567	2	7	688	42	54	66
567	2	12	208	40	53	67
567	2	19	24	35	41	48
567	2	75	16	33	37	42
567	2	118	125	40	50	64
572	2	7	686	42	54	66
572	2	12	206	41	54	67
572	2	19	24	35	41	48
572	2	75	16	33	37	42
572	2	118	125	40	50	64
577	2	7	684	42	54	66
577	2	12	204	41	54	67
577	2	19	24	35	41	48
577	2	75	16	33	37	42
577	2	118	125	40	50	64
582	2	7	681	42	54	66
582	2	12	201	42	54	67
582	2	19	24	35	41	48
582	2	75	16	33	37	42
582	2	118	125	40	50	64
587	2	7	679	42	54	66
587	2	12	199	42	54	67
587	2	19	24	35	41	48
587	2	75	16	33	37	42
587	2	118	125	40	50	64
592	2	7	676	42	54	67
592	2	12	196	42	54	66
592	2	19	24	35	41	48
592	2	75	16	33	37	42
592	2	118	125	40	50	64
597	2	7	674	42	54	67
597	2	12	194	42	54	66
597	2	19	24	35	41	48
597	2	75	16	33	37	42
597	2	118	125	40	50	64
602	2	7	672	41	54	67
602	2	12	192	41	53	66
602	2	19	24	35	41	48
602	2	75	16	33	37	42
602	2	118	124	40	50	64
607	2	7	669	41	54	67
607	2	12	189	41	53	65
607	2	19	24	35	41	48
607	2	75	15	33	37	41
607	2	118	124	40	50	64
612	2	7	667	41	54	67
612	2	12	187	41	53	65
612	2	19	24	35	41	48
612	2	75	15	33	37	41
612	2	118	124	40	50	64
617	2	7	664	41	54	67
617	2	12	184	41	52	64
617	2	19	24	35	41	48
617	2	75	15	33	37	41
617	2	118	124	40	50	64
622	2	7	662	41	54	67
622	2	12	182	41	52	64
622	2	19	24	35	41	48
622	2	75	15	33	37	41
622	2	118	124	40	50	64
627	2	7	660	41	54	67
627	2	12	180	41	52	65
627	2	19	24	35	41	48
627	2	75	15	33	37	41
627	2	118	124	40	50	64
632	2	7	657	42	54	67
632	2	12	177	41	52	65
632	2	19	24	35	41	48
632	2	75	15	33	37	41
632	2	118	124	40	50	64
637	2	7	655	42	54	67
637	2	12	175	40	51	65
637	2	19	24	35	41	48
637	2	75	15	33	37	41
637	2	118	123	40	50	64
642	2	7	652	42	54	67
642	2	12	172	40	51	65
642	2	19	24	35	41	48
642	2	75	15	33	37	41
642	2	118	123	40	50	64
647	2	7	650	42	54	67
647	2	12	170	40	51	65
647	2	19	24	35	41	48
647	2	75	15	33	37	41
647	2	118	123	40	50	64
652	2	7	648	42	54	67
652	2	12	168	40	51	66
652	2	19	24	35	41	48
652	2	75	15	33	37	41
652	2	118	123	40	50	64
657	2	7	645	42	54	67
657	2	12	165	40	52	66
657	2	19	24	35	41	48
657	2	75	14	33	36	40
657	2	118	123	40	50	64
662	2	7	643	42	54	67
662	2	12	163	40	52	66
662	2	19	24	35	41	48
662	2	75	14	33	36	40
662	2	118	123	40	50	64
667	2	7	640	42	54	66
667	2	12	160	39	53	66
667	2	19	24	35	41	48
667	2	75	14	33	36	40
667	2	118	123	40	50	64
672	2	7	638	42	54	66
672	2	12	158	40	53	66
672	2	19	24	35	41	48
672	2	75	14	33	36	40
672	2	118	122	40	50	64
677	2	7	636	42	54	66
677	2	12	156	40	53	67
677	2	19	24	35	41	48
677	2	75	14	33	36	40
677	2	118	122	40	50	64
682	2	7	633	42	54	66
682	2	12	153	41	54	67
682	2	19	24	35	41	48
682	2	75	14	33	36	40
682	2	118	122	40	50	64
687	2	7	631	42	54	66
687	2	12	151	42	54	67
687	2	19	24	35	41	48
687	2	75	14	33	36	40
687	2	118	122	40	50	64
692	2	7	628	42	54	66
692	2	12	148	42	54	67
692	2	19	24	35	41	48
692	2	75	14	33	36	40
692	2	118	122	40	50	64
697	2	7	626	42	54	66
697	2	12	146	42	54	66
697	2	19	24	35	41	48
697	2	75	14	33	36	40
697	2	118	122	40	50	64
702	2	7	624	41	53	67
702	2	12	144	41	53	66
702	2	19	24	35	41	48
702	2	75	14	33	36	40
702	2	118	122	40	50	64
707	2	7	621	41	54	67
707	2	12	141	41	53	65
707	2	19	24	35	41	48
707	2	75	14	33	36	40
707	2	118	121	40	50	64
712	2	7	619	41	54	67
712	2	12	139	41	53	64
712	2	19	24	35	41	48
712	2	75	13	33	36	39
712	2	118	121	40	50	64
717	2	7	616	41	54	67
717	2	12	136	41	52	64
717	2	19	24	35	41	48
717	2	75	13	33	36	39
717	2	118	121	40	50	64
722	2	7	614	41	54	67
722	2	12	134	41	52	63
722	2	19	24	35	41	48
722	2	75	13	33	36	39
722	2	118	121	40	50	64
727	2	7	612	41	54	67
727	2	12	132	40	51	63
727	2	19	24	35	41	48
727	2	75	13	33	36	39
727	2	118	121	40	50	64
732	2	7	609	41	54	67
732	2	12	129	40	51	63
732	2	19	24	35	41	48
732	2	75	13	33	36	39
732	2	118	121	40	50	64
737	2	7	607	42	54	67
737	2	12	127	40	51	64
737	2	19	24	35	41	48
737	2	75	13	33	36	39
737	2	118	121	40	50	64
742	2	7	604	42	54	67
742	2	12	124	40	50	64
742	2	19	24	35	41	48
742	2	75	13	33	36	39
742	2	118	120	39	49	65
747	2	7	602	42	54	67
747	2	12	122	40	50	64
747	2	19	24	35	41	48
747	2	75	13	33	36	39
747	2	118	120	39	49	65
752	2	7	600	42	54	67
752	2	12	120	39	49	65
752	2	19	24	35	41	48
752	2	75	13	33	36	39
752	2	118	120	39	49	65
757	2	7	597	42	54	67
757	2	12	117	39	50	65
757	2	19	24	35	41	48
757	2	75	13	33	36	39
757	2	118	120	39	49	65
762	2	7	595	42	54	67
762	2	12	115	39	51	65
762	2	19	24	35	41	48
762	2	75	13	33	36	39
762	2	118	120	39	49	65
767	2	7	592	42	54	67
767	2	12	112	39	51	66
767	2	19	24	35	41	48
767	2	75	13	33	36	39
767	2	118	120	39	49	65
772	2	7	590	42	54	66
772	2	12	110	39	52	66
772	2	19	24	35	41	48
772	2	75	13	33	36	39
772	2	118	119	39	50	65
777	2	7	588	42	54	66
777	2	12	108	39	52	66
777	2	19	24	35	41	48
777	2	75	12	32	35	39
777	2	118	119	39	50	65
782	2	7	585	42	54	66
782	2	12	105	40	53	66
782	2	19	24	35	41	48
782	2	75	12	32	35	39
782	2	118	119	39	50	65
787	2	7	583	42	54	66
787	2	12	103	41	54	67
787	2	19	24	35	41	48
787	2	75	12	32	35	39
787	2	118	119	39	50	65
792	2	7	580	42	54	66
792	2	12	100	42	54	67
792	2	19	24	35	41	48
792	2	75	12	32	35	39
792	2	118	119	39	50	65
797	2	7	578	42	54	66
797	2	12	98	42	54	66
797	2	19	24	35	41	48
797	2	75	12	32	35	39
797	2	118	119	39	50	65
802	2	7	576	41	53	66
802	2	12	96	41	53	66
802	2	19	24	35	41	48
802	2	75	12	32	35	39
802	2	118	118	39	50	65
807	2	7	573	41	53	66
807	2	12	93	41	53	64
807	2	19	24	35	41	48
807	2	75	12	32	35	39
807	2	118	118	39	50	65
812	2	7	571	41	54	67
812	2	12	91	41	52	64
812	2	19	24	35	41	48
812	2	75	12	32	35	39
812	2	118	118	39	50	65
817	2	7	568	41	54	67
817	2	12	88	40	51	63
817	2	19	24	35	41	48
817	2	75	12	32	35	39
817	2	118	118	39	50	65
822	2	7	566	41	54	67
822	2	12	86	40	51	62
822	2	19	24	35	41	48
822	2	75	12	32	35	39
822	2	118	118	39	50	65
827	2	7	564	41	54	67
827	2	12	84	40	50	61
827	2	19	24	35	41	48
827	2	75	12	32	35	39
827	2	118	118	39	50	65
832	2	7	561	41	54	67
832	2	12	81	40	50	60
832	2	19	24	35	41	48
832	2	75	12	32	35	39
832	2	118	117	39	50	65
837	2	7	559	41	54	67
837	2	12	79	39	49	60
837	2	19	24	35	41	48
837	2	75	12	32	35	39
837	2	118	117	39	50	65
842	2	7	556	42	54	67
842	2	12	76	39	48	61
842	2	19	24	35	41	48
842	2	75	12	32	35	39
842	2	118	117	39	50	65
847	2	7	554	42	54	67
847	2	12	74	39	48	61
847	2	19	24	35	41	48
847	2	75	12	32	35	39
847	2	118	117	39	50	65
852	2	7	552	42	54	67
852	2	12	72	38	47	62
852	2	19	24	35	41	48
852	2	75	12	32	35	39
852	2	118	117	39	50	65
857	2	7	549	42	54	67
857	2	12	69	38	47	62
857	2	19	24	35	41	48
857	2	75	11	32	35	38
857	2	118	117	39	50	65
862	2	7	547	42	54	67
862	2	12	67	38	46	63
862	2	19	24	35	41	48
862	2	75	11	32	35	38
862	2	118	116	39	50	65
867	2	7	544	42	54	67
867	2	12	64	37	47	64
867	2	19	24	35	41	48
867	2	75	11	32	35	38
867	2	118	116	39	50	65
872	2	7	542	42	54	66
872	2	12	62	37	48	64
872	2	19	24	35	41	48
872	2	75	11	32	35	38
872	2	118	116	39	50	65
877	2	7	540	42	54	66
877	2	12	60	37	49	65
877	2	19	24	35	41	48
877	2	75	11	32	35	38
877	2	118	116	39	50	65
882	2	7	537	42	54	66
882	2	12	57	37	51	65
882	2	19	24	35	41	48
882	2	75	11	32	35	38
882	2	118	116	39	50	65
887	2	7	535	42	54	66
887	2	12	55	38	52	66
887	2	19	24	35	41	48
887	2	75	11	32	35	38
887	2	118	115	39	51	65
892	2	7	532	42	54	66
892	2	12	52	40	53	67
892	2	19	24	35	41	48
892	2	75	11	32	35	38
892	2	118	115	39	51	65
897	2	7	530	42	54	66
897	2	12	50	42	54	67
897	2	19	24	35	41	48
897	2	75	11	32	35	38
897	2	118	115	39	51	65
902	2	7	528	41	53	66
902	2	12	48	41	53	66
902	2	19	24	35	41	48
902	2	75	11	32	35	38
902	2	118	115	39	51	65
907	2	7	525	41	53	66
907	2	12	45	41	52	63
907	2	19	24	35	41	48
907	2	75	11	32	35	38
907	2	118	115	39	51	65
912	2	7	523	41	53	66
912	2	12	43	40	51	62
912	2	19	24	35	41	48
912	2	75	11	32	35	38
912	2	118	114	39	51	65
917	2	7	520	41	53	67
917	2	12	40	39	49	60
917	2	19	24	35	41	48
917	2	75	11	32	35	38
917	2	118	114	39	51	65
922	2	7	518	41	54	67
922	2	12	38	39	48	58
922	2	19	24	35	41	48
922	2	75	11	32	35	38
922	2	118	114	39	51	65
927	2	7	516	41	54	67
927	2	12	36	38	47	57
927	2	19	24	35	41	48
927	2	75	11	32	35	38
927	2	118	114	39	51	65
932	2	7	513	41	54	67
932	2	12	33	38	46	54
932	2	19	24	35	41	48
932	2	75	11	32	35	38
932	2	118	114	39	51	65
937	2	7	511	41	54	67
937	2	12	31	37	45	53
937	2	19	24	35	41	48
937	2	75	11	32	35	38
937	2	118	113	39	51	65
942	2	7	508	41	54	67
942	2	12	28	36	43	51
942	2	19	24	35	41	48
942	2	75	11	32	35	38
942	2	118	113	39	51	65
947	2	7	506	42	54	67
947	2	12	26	36	42	49
947	2	19	24	35	41	48
947	2	75	10	32	34	37
947	2	118	113	39	51	65
952	2	7	504	42	54	67
952	2	12	24	35	41	48
952	2	19	24	35	41	48
952	2	75	10	32	34	37
952	2	118	113	39	51	65
957	2	7	501	42	54	67
957	2	12	21	35	40	45
957	2	19	24	35	41	48
957	2	75	10	32	34	37
957	2	118	113	39	51	65
962	2	7	499	42	54	67
962	2	12	19	34	39	44
962	2	19	24	35	41	48
962	2	75	10	32	34	37
962	2	118	112	39	51	66
967	2	7	496	42	54	67
967	2	12	16	33	37	42
967	2	19	24	35	41	48
967	2	75	10	32	34	37
967	2	118	112	39	51	66
972	2	7	494	42	54	67
972	2	12	14	33	36	40
972	2	19	24	35	41	48
972	2	75	10	32	34	37
